segment_tag,name,region,phone,email,description,site,rating_ref,source,inn,revenue_year,revenue,okved_main,employees
SOUVENIR,Прагматика,Екатеринбург,+7 (343) 253-15-76,info@pragmatica.ru,"Рекламно-производственная компания представляет интересы ведущих сувенирных каталогов и предлагает огромный выбор рекламных и бизнес-сувениров российского и зарубежного производства, а так же оказывает услуги по нанесению фирменной символики и производству рекламной полиграфии.",https://pragmatica.gifts,https://www.alladvertising.ru/top100/,checko,6685136716,2024 год,271500000.0,Торговля оптовая неспециализированная46.9,365.0
COMM_GROUP,Zeytz,Москва,+7 (495) 662-97-85,welcome@zeytz.ru,"Группа ZEYTZ — эксперт в производстве рекламной, полиграфической, сувенирной и текстильной продукции, оформлении мест продаж, автоматизации рекламных поставок в федеральные сети. Компании принадлежат крупнейшая в России интерьерная латексная типография и швейный цех «Швейц» в Рязани.",https://www.zeytz.ru,https://www.alladvertising.ru/top100/,checko,7705884383,2024 год,1200000000.0,Прочие виды полиграфической деятельности18.12,5512.0
SOUVENIR,LBK Marketing Pro,Москва,+7 (495) 989-12-36,zakaz@lbk-mpro.ru,"Сервисно-производственная компания «ЛБК Маркетинг Продакшен» является одним из лидеров в области разработки и производства POS-материалов и промо-дисплеев, а также промо-упаковки и различных рекламных материалов.",http://lbk-mpro.ru,https://www.alladvertising.ru/top100/,checko,7743777640,2024 год,938800000.0,Производство прочих изделий из бумаги и картона17.29,899.0
SOUVENIR,Эклектика,Москва,+7 (495) 129-53-72,team@eklektika.ru,"Компания «Эклектика» специализируется на оптовых поставках сувенирной продукции и бизнес-подарков от известных мировых производителей, а также оказывает услуги по разработке индивидуальных решений и нанесению фирменной символики.",https://eklektika.ru,https://www.alladvertising.ru/top100/,checko,7704404228,2024 год,420700000.0,Торговля оптовая прочими потребительскими товарами46.49.4,458.0
SOUVENIR,Сувенир Медиа,Москва,+7 (495) 925-51-97,order@suvmedia.ru,"Компания «Сувенир Медиа» занимается оптовыми поставками брендированных сувениров, корпоративных подарков и другой промо-продукции.",https://www.suvmedia.ru,https://www.alladvertising.ru/top100/,checko,7714736550,2024 год,703000000.0,Прочие виды полиграфической деятельности18.12,379.0
COMM_GROUP,Инел-Дисплей,Москва,+7 (499) 350-22-00,info@inel-display.ru,"Компания «ИНЕЛ-ДИСПЛЕЙ» является одним из лидеров на рынке производства продукции для для оформления торговых точек и мерчандайзинга, а также проектирования и изготовления эксклюзивных POS-материалов POS для брендов: оформление магазинов и мест продаж (ценникодержатели, рамки, покупательские корзины), стимулирующее покупательскую активность; эксклюзивные POSM-конструкции для продвижения брендов в ритейле (рекламные стойки, полочные дисплеи, шелфсистемы, табачное оборудование).",https://inel-display.ru,https://www.alladvertising.ru/top100/,checko,5008036720,2024 год,990400000.0,Производство мебели для офисов и предприятий торговли31.01,14821.0
COMM_GROUP,Ace Target,Москва,+7 (495) 685-94-59,welcome@ace-target.ru,"Агентство Ace Target предлагает разработку и проведение долгосрочных и краткосрочных программ стимулирования розничной торговли, направленных на повышение покупательской активности потребителей и увеличение доли рынка компании в сегменте: торговый маркетинг, мерчандайзинг, POS-материалы.",https://ace-target.ru,https://www.alladvertising.ru/top100/,checko,1655484153,2024 год,3100000000.0,Деятельность по оказанию консультационных и информационных услуг63.99.1,81.0
COMM_GROUP,POS Media Russia,Москва,+7 (495) 181-16-81,info@pos-media.ru,"Компания POS Media Russia специализируется на производстве и размещении эффективных POS-материалов в торговых сетях, разрабатывает стратегии, организует промо-акции и маркетинговые кампании.",https://www.pos-media.ru,https://www.alladvertising.ru/top100/,checko,7710934030,2024 год,2000000000.0,Деятельность рекламных агентств73.11,281.0
COMM_GROUP,Depot,Москва,+7 (495) 363-22-88,,"Основные компетенции агентства Depot Branding Agency включают брендинг продовольственных и непродовольственных товаров, компаний и услуг; проведение исследований и анализ рынка; разработка стратегий позиционирования; нейминг и копирайт, логотипы и системы айдентики, дизайн упаковки и этикетки; оформление пространств, рекламных и промо-материалов.",https://depotwpf.ru,https://www.alladvertising.ru/top100/,checko,7709658882,2024 год,244200000.0,Деятельность специализированная в области дизайна74.1,30.0
COMM_GROUP,ONY,Москва,+7 (495) 120-78-88,mail@ony.ru,"Агентство полного цикла, специализирующееся на исследованиях, брендинге, digital-дизайне и разработке. ONY занимается маркетинговыми исследованиями и разработкой бренд-стратегий, созданием фирменного стиля и коммуникационного дизайна, продуктовыми исследованиями, разработкой сайтов и мобильных приложений, создаёт видео и фото, 3D графику и моушн-дизайн.",https://ony.ru,https://www.alladvertising.ru/top100/,checko,7734529922,2024 год,241000000.0,Разработка компьютерного программного обеспечения62.01,105.0
COMM_GROUP,Студия Артемия Лебедева,Москва,+7 (495) 926-18-00,mailbox@artlebedev.ru,"Одна из лучших и крупнейших дизайн-студий России, занимающаяся созданием фирменных стилей и разработкой веб-сайтов, графическим и промышленным дизайном.",https://www.artlebedev.ru,https://www.alladvertising.ru/top100/,checko,7703206417,2024 год,234900000.0,Разработка компьютерного программного обеспечения62.01,182.0
COMM_GROUP,DDVB,Москва,+7 (495) 916-01-23,info@ddvb.ru,"DDVB является одним из крупнейших брендинговых агентств в России и предлагает полный комплекс услуг — от разработки названия, айдентики и оформления упаковки до ритейл-дизайна, разработки стратегий продвижения и креатива в рекламе.",https://www.ddvb.ru,https://www.alladvertising.ru/top100/,checko,7737069568,2024 год,228000000.0,Консультирование по вопросам коммерческой деятельности и управления70.22,398.0
COMM_GROUP,OTVETDESIGN,Санкт-Петербург,+7 (812) 401-66-06,hello-adv@otvetdesign.ru,Коммуникационное агентство OTVETDESIGN специализируется на реализации проектов в области корпоративного и потребительского брендинга.,https://otvetdesign.ru,https://www.alladvertising.ru/top100/,checko,7804502356,2024 год,214200000.0,Деятельность рекламных агентств73.11,285.0
